Local time,Open,High,Low,Close,Volume
03.01.2010 22:00:00.000 GMT-0000,132.966,133.340,132.575,132.685,53575.1006
04.01.2010 02:00:00.000 GMT-0000,132.685,132.850,132.370,132.810,51143.7988
04.01.2010 06:00:00.000 GMT-0000,132.805,133.590,132.680,133.570,111301.6016
04.01.2010 10:00:00.000 GMT-0000,133.570,133.785,133.445,133.605,99329.5996
04.01.2010 14:00:00.000 GMT-0000,133.605,133.740,133.135,133.600,108922.9004
04.01.2010 18:00:00.000 GMT-0000,133.600,133.615,133.295,133.305,35686.0996
04.01.2010 22:00:00.000 GMT-0000,133.285,133.460,132.840,133.045,47125.498999999996
05.01.2010 02:00:00.000 GMT-0000,133.050,133.095,132.125,132.605,62013.9004
05.01.2010 06:00:00.000 GMT-0000,132.605,132.930,132.465,132.590,107332.3379
05.01.2010 10:00:00.000 GMT-0000,132.590,132.865,132.300,132.375,106480.8008
05.01.2010 14:00:00.000 GMT-0000,132.370,132.370,131.490,131.760,104585.5
05.01.2010 18:00:00.000 GMT-0000,131.760,131.825,131.450,131.710,51914.600399999996
05.01.2010 22:00:00.000 GMT-0000,131.710,132.030,131.250,131.865,47298.7495
06.01.2010 02:00:00.000 GMT-0000,131.865,132.235,131.700,132.145,58583.7998
06.01.2010 06:00:00.000 GMT-0000,132.160,132.805,131.585,132.740,113210.1992
06.01.2010 10:00:00.000 GMT-0000,132.750,132.785,132.295,132.355,98931.0508
06.01.2010 14:00:00.000 GMT-0000,132.380,133.475,132.275,133.225,113181.99020000001
06.01.2010 18:00:00.000 GMT-0000,133.225,133.350,132.945,132.995,54119.7002
06.01.2010 22:00:00.000 GMT-0000,132.990,133.385,132.888,133.085,36234.75
07.01.2010 02:00:00.000 GMT-0000,133.090,133.115,132.535,132.685,48750.6104
07.01.2010 06:00:00.000 GMT-0000,132.685,133.585,132.380,133.300,117291.97270000001
07.01.2010 10:00:00.000 GMT-0000,133.300,133.660,133.215,133.390,110121.6602
07.01.2010 14:00:00.000 GMT-0000,133.390,133.630,133.300,133.435,100620.3008
07.01.2010 18:00:00.000 GMT-0000,133.435,133.635,133.205,133.575,47227.3003
07.01.2010 22:00:00.000 GMT-0000,133.580,134.120,133.400,133.550,51663.9609
08.01.2010 02:00:00.000 GMT-0000,133.550,133.680,133.315,133.365,46666.7007
08.01.2010 06:00:00.000 GMT-0000,133.370,133.740,133.045,133.370,99127.3994
08.01.2010 10:00:00.000 GMT-0000,133.370,133.445,132.275,133.050,110331.9512
08.01.2010 14:00:00.000 GMT-0000,133.035,133.440,133.005,133.275,109801.1992
08.01.2010 18:00:00.000 GMT-0000,133.275,133.620,133.190,133.495,55425.3008
10.01.2010 22:00:00.000 GMT-0000,133.545,133.785,133.405,133.715,47380.2002
11.01.2010 02:00:00.000 GMT-0000,133.720,133.995,133.715,133.885,54543.999
11.01.2010 06:00:00.000 GMT-0000,133.885,134.285,133.725,134.265,109708.9512
11.01.2010 10:00:00.000 GMT-0000,134.275,134.370,134.135,134.270,96287.5
11.01.2010 14:00:00.000 GMT-0000,134.270,134.365,133.495,133.560,127425.4004
