Local time,Open,High,Low,Close,Volume
31.12.2017 22:00:00.000 GMT-0000,135.140,135.140,135.140,135.140,0
01.01.2018 02:00:00.000 GMT-0000,135.140,135.140,135.140,135.140,0
01.01.2018 06:00:00.000 GMT-0000,135.140,135.140,135.140,135.140,0
01.01.2018 10:00:00.000 GMT-0000,135.140,135.140,135.140,135.140,0
01.01.2018 14:00:00.000 GMT-0000,135.140,135.140,135.140,135.140,0
01.01.2018 18:00:00.000 GMT-0000,135.140,135.140,135.140,135.140,0
01.01.2018 22:00:00.000 GMT-0000,135.213,135.540,135.133,135.448,25664.5295
02.01.2018 02:00:00.000 GMT-0000,135.447,135.515,135.343,135.507,29246.550300000003
02.01.2018 06:00:00.000 GMT-0000,135.507,135.632,135.335,135.497,37769.6494
02.01.2018 10:00:00.000 GMT-0000,135.499,135.557,135.202,135.203,36766.7506
02.01.2018 14:00:00.000 GMT-0000,135.203,135.304,134.935,135.249,40482.109800000006
02.01.2018 18:00:00.000 GMT-0000,135.248,135.458,135.230,135.388,21972.8799
02.01.2018 22:00:00.000 GMT-0000,135.388,135.504,135.293,135.374,34168.6304
03.01.2018 02:00:00.000 GMT-0000,135.374,135.420,135.278,135.387,19846.0498
03.01.2018 06:00:00.000 GMT-0000,135.387,135.402,135.145,135.186,33689.9205
03.01.2018 10:00:00.000 GMT-0000,135.186,135.202,134.804,135.043,36593.5605
03.01.2018 14:00:00.000 GMT-0000,135.042,135.158,134.834,135.103,38078.6002
03.01.2018 18:00:00.000 GMT-0000,135.103,135.245,135.048,135.163,30496.5596
03.01.2018 22:00:00.000 GMT-0000,135.158,135.435,135.117,135.368,27895.980600000003
04.01.2018 02:00:00.000 GMT-0000,135.368,135.442,135.346,135.413,24751.5498
04.01.2018 06:00:00.000 GMT-0000,135.414,135.588,135.334,135.548,32211.7705
04.01.2018 10:00:00.000 GMT-0000,135.550,136.217,135.542,136.100,36193.5703
04.01.2018 14:00:00.000 GMT-0000,136.104,136.367,135.997,136.165,42924.5303
04.01.2018 18:00:00.000 GMT-0000,136.166,136.237,136.006,136.060,30808.1499
04.01.2018 22:00:00.000 GMT-0000,136.062,136.245,135.994,136.146,28835.410200000002
05.01.2018 02:00:00.000 GMT-0000,136.146,136.426,136.077,136.410,29416.6802
05.01.2018 06:00:00.000 GMT-0000,136.410,136.523,136.317,136.392,35188.0693
05.01.2018 10:00:00.000 GMT-0000,136.390,136.635,136.345,136.449,37295.2397
05.01.2018 14:00:00.000 GMT-0000,136.448,136.449,136.107,136.334,46825.2998
05.01.2018 18:00:00.000 GMT-0000,136.331,136.358,135.967,135.967,25893.6899
07.01.2018 22:00:00.000 GMT-0000,136.064,136.322,135.994,136.259,23666.5196
08.01.2018 02:00:00.000 GMT-0000,136.259,136.272,136.043,136.098,19789.740299999998
08.01.2018 06:00:00.000 GMT-0000,136.099,136.117,135.611,135.679,31071.0196
08.01.2018 10:00:00.000 GMT-0000,135.679,135.812,135.154,135.176,36223.790499999996
08.01.2018 14:00:00.000 GMT-0000,135.176,135.485,135.129,135.441,34358.6996
08.01.2018 18:00:00.000 GMT-0000,135.440,135.442,135.157,135.339,33539.120200000005
08.01.2018 22:00:00.000 GMT-0000,135.342,135.473,134.753,134.820,34442.2495
