Local time,Open,High,Low,Close,Volume
31.12.2017 22:00:00.000 GMT-0000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 02:00:00.000 GMT-0000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 06:00:00.000 GMT-0000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 10:00:00.000 GMT-0000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 14:00:00.000 GMT-0000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 18:00:00.000 GMT-0000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 22:00:00.000 GMT-0000,1.20102,1.20231,1.20007,1.20154,18795.9399
02.01.2018 02:00:00.000 GMT-0000,1.20153,1.20245,1.20078,1.20245,20688.22
02.01.2018 06:00:00.000 GMT-0000,1.20244,1.20705,1.20227,1.20705,39661.9301
02.01.2018 10:00:00.000 GMT-0000,1.20704,1.20811,1.20561,1.20574,45011.2304
02.01.2018 14:00:00.000 GMT-0000,1.20572,1.20590,1.20262,1.20448,49662.6094
02.01.2018 18:00:00.000 GMT-0000,1.20441,1.20652,1.20418,1.20583,24988.870199999998
02.01.2018 22:00:00.000 GMT-0000,1.20581,1.20662,1.20443,1.20530,19067.8399
03.01.2018 02:00:00.000 GMT-0000,1.20530,1.20592,1.20419,1.20581,17163.29
03.01.2018 06:00:00.000 GMT-0000,1.20581,1.20604,1.20311,1.20382,37752.46
03.01.2018 10:00:00.000 GMT-0000,1.20382,1.20405,1.20108,1.20328,43839.2099
03.01.2018 14:00:00.000 GMT-0000,1.20327,1.20328,1.20034,1.20271,43092.0801
03.01.2018 18:00:00.000 GMT-0000,1.20271,1.20299,1.20011,1.20141,33427.6504
03.01.2018 22:00:00.000 GMT-0000,1.20142,1.20160,1.20044,1.20077,18426.5701
04.01.2018 02:00:00.000 GMT-0000,1.20078,1.20229,1.20076,1.20191,20440.4995
04.01.2018 06:00:00.000 GMT-0000,1.20190,1.20458,1.20171,1.20433,40206.1006
04.01.2018 10:00:00.000 GMT-0000,1.20432,1.20748,1.20413,1.20621,49207.5097
04.01.2018 14:00:00.000 GMT-0000,1.20625,1.20889,1.20601,1.20744,55187.3702
04.01.2018 18:00:00.000 GMT-0000,1.20746,1.20801,1.20608,1.20680,28387.7998
04.01.2018 22:00:00.000 GMT-0000,1.20679,1.20796,1.20650,1.20721,17617.6799
05.01.2018 02:00:00.000 GMT-0000,1.20722,1.20755,1.20681,1.20715,20423.2099
05.01.2018 06:00:00.000 GMT-0000,1.20714,1.20743,1.20416,1.20458,38369.5098
05.01.2018 10:00:00.000 GMT-0000,1.20452,1.20829,1.20420,1.20518,43869.569
05.01.2018 14:00:00.000 GMT-0000,1.20520,1.20557,1.20205,1.20472,50893.3506
05.01.2018 18:00:00.000 GMT-0000,1.20472,1.20508,1.20280,1.20304,24396.0704
07.01.2018 22:00:00.000 GMT-0000,1.20265,1.20521,1.20259,1.20444,15209.1301
08.01.2018 02:00:00.000 GMT-0000,1.20444,1.20465,1.20120,1.20196,20489.9694
08.01.2018 06:00:00.000 GMT-0000,1.20196,1.20227,1.19834,1.19896,35667.4004
08.01.2018 10:00:00.000 GMT-0000,1.19897,1.20092,1.19685,1.19701,42328.87
08.01.2018 14:00:00.000 GMT-0000,1.19701,1.19820,1.19590,1.19772,45671.6094
08.01.2018 18:00:00.000 GMT-0000,1.19773,1.19773,1.19560,1.19666,24449.739999999998
08.01.2018 22:00:00.000 GMT-0000,1.19666,1.19733,1.19581,1.19669,16995.5298
09.01.2018 02:00:00.000 GMT-0000,1.19669,1.19755,1.19641,1.19650,22860.8599
09.01.2018 06:00:00.000 GMT-0000,1.19649,1.19707,1.19321,1.19386,45790.7992
09.01.2018 10:00:00.000 GMT-0000,1.19387,1.19396,1.19156,1.19209,44117.2501
09.01.2018 14:00:00.000 GMT-0000,1.19209,1.19334,1.19171,1.19210,49564.9209
09.01.2018 18:00:00.000 GMT-0000,1.19212,1.19390,1.19165,1.19363,25806.8399
09.01.2018 22:00:00.000 GMT-0000,1.19363,1.19451,1.19276,1.19451,20796.6599
10.01.2018 02:00:00.000 GMT-0000,1.19450,1.19494,1.19269,1.19278,20864.9398
10.01.2018 06:00:00.000 GMT-0000,1.19279,1.19549,1.19231,1.19387,47375.3496
10.01.2018 10:00:00.000 GMT-0000,1.19387,1.20179,1.19315,1.19948,68632.95120000001
10.01.2018 14:00:00.000 GMT-0000,1.19949,1.20070,1.19511,1.19601,58111.2998
10.01.2018 18:00:00.000 GMT-0000,1.19602,1.19677,1.19402,1.19471,37451.3506
10.01.2018 22:00:00.000 GMT-0000,1.19470,1.19627,1.19458,1.19594,22362.2402
11.01.2018 02:00:00.000 GMT-0000,1.19594,1.19700,1.19412,1.19523,28422.1797
11.01.2018 06:00:00.000 GMT-0000,1.19523,1.19523,1.19291,1.19478,41858.1904
11.01.2018 10:00:00.000 GMT-0000,1.19478,1.20347,1.19363,1.20314,64897.5196
11.01.2018 14:00:00.000 GMT-0000,1.20312,1.20589,1.20308,1.20377,58505.4882
11.01.2018 18:00:00.000 GMT-0000,1.20377,1.20474,1.20276,1.20319,29560.2696
11.01.2018 22:00:00.000 GMT-0000,1.20319,1.20666,1.20308,1.20452,25559.5899
12.01.2018 02:00:00.000 GMT-0000,1.20451,1.20573,1.20401,1.20441,20949.4701
12.01.2018 06:00:00.000 GMT-0000,1.20441,1.21368,1.20423,1.21254,56765.459
12.01.2018 10:00:00.000 GMT-0000,1.21253,1.21484,1.21121,1.21199,58753.8095
12.01.2018 14:00:00.000 GMT-0000,1.21199,1.21555,1.21114,1.21344,73498.0713
12.01.2018 18:00:00.000 GMT-0000,1.21344,1.22184,1.21328,1.21993,48063.6592
14.01.2018 22:00:00.000 GMT-0000,1.21933,1.22117,1.21876,1.21982,27754.4997
15.01.2018 02:00:00.000 GMT-0000,1.21983,1.22400,1.21923,1.22230,35803.9999
15.01.2018 06:00:00.000 GMT-0000,1.22229,1.22693,1.22012,1.22602,50571.4394
15.01.2018 10:00:00.000 GMT-0000,1.22602,1.22964,1.22514,1.22830,49425.0986
15.01.2018 14:00:00.000 GMT-0000,1.22830,1.22937,1.22544,1.22715,40788.07950000001
15.01.2018 18:00:00.000 GMT-0000,1.22715,1.22781,1.22631,1.22634,26260.8999
15.01.2018 22:00:00.000 GMT-0000,1.22634,1.22749,1.22478,1.22654,23875.869899999998
16.01.2018 02:00:00.000 GMT-0000,1.22654,1.22797,1.22552,1.22626,26826.9404
16.01.2018 06:00:00.000 GMT-0000,1.22627,1.22828,1.22158,1.22331,63047.6094
16.01.2018 10:00:00.000 GMT-0000,1.22332,1.22402,1.22014,1.22183,52667.6905
16.01.2018 14:00:00.000 GMT-0000,1.22182,1.22483,1.21952,1.22435,56050.1201
16.01.2018 18:00:00.000 GMT-0000,1.22435,1.22807,1.22430,1.22601,40138.1104
16.01.2018 22:00:00.000 GMT-0000,1.22595,1.23231,1.22541,1.22905,30716.7011
17.01.2018 02:00:00.000 GMT-0000,1.22906,1.22970,1.22372,1.22443,33947.220799999996
17.01.2018 06:00:00.000 GMT-0000,1.22443,1.22511,1.22083,1.22367,57056.159100000004
17.01.2018 10:00:00.000 GMT-0000,1.22367,1.22497,1.21964,1.22190,51097.701199999996
17.01.2018 14:00:00.000 GMT-0000,1.22193,1.22531,1.22124,1.22517,61772.4903
17.01.2018 18:00:00.000 GMT-0000,1.22516,1.22881,1.21770,1.21851,52991.3799
17.01.2018 22:00:00.000 GMT-0000,1.21846,1.22040,1.21650,1.21929,30151.7701
18.01.2018 02:00:00.000 GMT-0000,1.21931,1.22089,1.21734,1.22067,28872.5
18.01.2018 06:00:00.000 GMT-0000,1.22068,1.22178,1.21864,1.22143,48120.4492
18.01.2018 10:00:00.000 GMT-0000,1.22144,1.22525,1.22122,1.22492,50841.8799
18.01.2018 14:00:00.000 GMT-0000,1.22491,1.22648,1.22205,1.22282,60427.0107
18.01.2018 18:00:00.000 GMT-0000,1.22283,1.22472,1.22198,1.22377,37377.8496
18.01.2018 22:00:00.000 GMT-0000,1.22374,1.22536,1.22317,1.22433,26978.5207
19.01.2018 02:00:00.000 GMT-0000,1.22435,1.22701,1.22400,1.22606,32352.100000000002
19.01.2018 06:00:00.000 GMT-0000,1.22605,1.22953,1.22513,1.22817,51750.1201
19.01.2018 10:00:00.000 GMT-0000,1.22817,1.22841,1.22393,1.22433,56379.470700000005
19.01.2018 14:00:00.000 GMT-0000,1.22433,1.22571,1.22184,1.22325,59525.4092
19.01.2018 18:00:00.000 GMT-0000,1.22323,1.22385,1.22145,1.22145,33111.7094
21.01.2018 22:00:00.000 GMT-0000,1.22702,1.22726,1.22251,1.22285,28071.450299999997
22.01.2018 02:00:00.000 GMT-0000,1.22285,1.22375,1.22162,1.22313,30380.630400000002
22.01.2018 06:00:00.000 GMT-0000,1.22311,1.22557,1.22138,1.22495,46455.3408
22.01.2018 10:00:00.000 GMT-0000,1.22499,1.22670,1.22335,1.22493,41999.6504
22.01.2018 14:00:00.000 GMT-0000,1.22493,1.22604,1.22240,1.22434,56938.2207
22.01.2018 18:00:00.000 GMT-0000,1.22434,1.22628,1.22392,1.22614,31032.1196
22.01.2018 22:00:00.000 GMT-0000,1.22612,1.22754,1.22550,1.22662,21648.549899999998
23.01.2018 02:00:00.000 GMT-0000,1.22662,1.22758,1.22508,1.22578,29589.8808
23.01.2018 06:00:00.000 GMT-0000,1.22578,1.22708,1.22230,1.22377,52366.5303
23.01.2018 10:00:00.000 GMT-0000,1.22380,1.22647,1.22340,1.22585,53690.0889
23.01.2018 14:00:00.000 GMT-0000,1.22586,1.23061,1.22511,1.22790,65909.58989999999
23.01.2018 18:00:00.000 GMT-0000,1.22793,1.22996,1.22756,1.22982,34364.8496
23.01.2018 22:00:00.000 GMT-0000,1.22984,1.23152,1.22920,1.23069,24551.8501
24.01.2018 02:00:00.000 GMT-0000,1.23068,1.23353,1.23011,1.23246,34461.3095
24.01.2018 06:00:00.000 GMT-0000,1.23245,1.23558,1.23028,1.23370,59985.4004
24.01.2018 10:00:00.000 GMT-0000,1.23369,1.23678,1.23294,1.23657,63577.1309
24.01.2018 14:00:00.000 GMT-0000,1.23656,1.24020,1.23630,1.23914,70346.792
24.01.2018 18:00:00.000 GMT-0000,1.23914,1.24149,1.23902,1.24076,42850.540499999996
24.01.2018 22:00:00.000 GMT-0000,1.24071,1.24106,1.23845,1.24102,27858.9404
25.01.2018 02:00:00.000 GMT-0000,1.24103,1.24485,1.24055,1.24480,43104.298800000004
25.01.2018 06:00:00.000 GMT-0000,1.24480,1.24593,1.23893,1.24319,73200.74119999999
25.01.2018 10:00:00.000 GMT-0000,1.24318,1.24979,1.23971,1.24965,68740.2715
25.01.2018 14:00:00.000 GMT-0000,1.24965,1.25373,1.24622,1.24923,78988.4307
25.01.2018 18:00:00.000 GMT-0000,1.24922,1.25064,1.23639,1.23928,73636.5186
25.01.2018 22:00:00.000 GMT-0000,1.23928,1.24332,1.23699,1.24300,33533.3996
26.01.2018 02:00:00.000 GMT-0000,1.24299,1.24320,1.24120,1.24307,37114.8399
26.01.2018 06:00:00.000 GMT-0000,1.24305,1.24936,1.24279,1.24555,66177.3907
26.01.2018 10:00:00.000 GMT-0000,1.24556,1.24668,1.24207,1.24287,64220.3809
