Local time,Open,High,Low,Close,Volume
03.01.2010 22:00:00.000 GMT-0000,1.43024,1.43359,1.42559,1.42693,5964.6
04.01.2010 02:00:00.000 GMT-0000,1.42712,1.43116,1.42674,1.42987,13280.7001
04.01.2010 06:00:00.000 GMT-0000,1.43021,1.43939,1.42664,1.43921,15979.5
04.01.2010 10:00:00.000 GMT-0000,1.43932,1.44327,1.43699,1.44205,15547.4004
04.01.2010 14:00:00.000 GMT-0000,1.44212,1.44556,1.44005,1.44142,16902.8003
04.01.2010 18:00:00.000 GMT-0000,1.44127,1.44279,1.44001,1.44120,11157.799900000002
04.01.2010 22:00:00.000 GMT-0000,1.44112,1.44395,1.44030,1.44188,7086.4000000000015
05.01.2010 02:00:00.000 GMT-0000,1.44165,1.44733,1.44034,1.44614,13328.9997
05.01.2010 06:00:00.000 GMT-0000,1.44623,1.44834,1.44032,1.44303,15946.5
05.01.2010 10:00:00.000 GMT-0000,1.44303,1.44544,1.43971,1.44259,15609.8999
05.01.2010 14:00:00.000 GMT-0000,1.44226,1.44328,1.43809,1.43901,16531.5003
05.01.2010 18:00:00.000 GMT-0000,1.43904,1.43924,1.43445,1.43639,11337.300000000001
05.01.2010 22:00:00.000 GMT-0000,1.43630,1.43699,1.43323,1.43676,7269.700000000001
06.01.2010 02:00:00.000 GMT-0000,1.43670,1.43686,1.43398,1.43535,13656.8001
06.01.2010 06:00:00.000 GMT-0000,1.43535,1.43825,1.42807,1.43769,15956.299599999998
06.01.2010 10:00:00.000 GMT-0000,1.43755,1.43787,1.43323,1.43577,16110.4002
06.01.2010 14:00:00.000 GMT-0000,1.43567,1.44159,1.43415,1.44030,16883.5996
06.01.2010 18:00:00.000 GMT-0000,1.44030,1.44342,1.43812,1.44062,11074.3999
06.01.2010 22:00:00.000 GMT-0000,1.44053,1.44432,1.43894,1.44229,7368.099899999999
07.01.2010 02:00:00.000 GMT-0000,1.44221,1.44257,1.43788,1.43893,13398.8001
07.01.2010 06:00:00.000 GMT-0000,1.43882,1.43999,1.43491,1.43527,15865.1004
07.01.2010 10:00:00.000 GMT-0000,1.43524,1.43586,1.42976,1.43326,15732.7998
07.01.2010 14:00:00.000 GMT-0000,1.43317,1.43505,1.43018,1.43222,17481
07.01.2010 18:00:00.000 GMT-0000,1.43222,1.43274,1.43033,1.43045,11114.5
07.01.2010 22:00:00.000 GMT-0000,1.43063,1.43260,1.42992,1.43107,7149.9999
08.01.2010 02:00:00.000 GMT-0000,1.43114,1.43196,1.42844,1.42916,13219
08.01.2010 06:00:00.000 GMT-0000,1.42928,1.43343,1.42902,1.43219,16203.8
08.01.2010 10:00:00.000 GMT-0000,1.43210,1.44140,1.42616,1.44016,15703.1001
08.01.2010 14:00:00.000 GMT-0000,1.44016,1.44073,1.42991,1.43927,16987.5999
08.01.2010 18:00:00.000 GMT-0000,1.43916,1.44382,1.43885,1.44083,10991.4
10.01.2010 22:00:00.000 GMT-0000,1.44265,1.44940,1.44049,1.44792,6937.9
11.01.2010 02:00:00.000 GMT-0000,1.44784,1.45310,1.44693,1.45163,13527.6001
11.01.2010 06:00:00.000 GMT-0000,1.45164,1.45346,1.44769,1.45195,16005.599900000001
11.01.2010 10:00:00.000 GMT-0000,1.45198,1.45446,1.44977,1.45279,15429.1001
11.01.2010 14:00:00.000 GMT-0000,1.45302,1.45539,1.44937,1.45071,16947.1001
11.01.2010 18:00:00.000 GMT-0000,1.45085,1.45430,1.45046,1.45111,11009.0998
11.01.2010 22:00:00.000 GMT-0000,1.45108,1.45192,1.44783,1.44891,7088.8001
12.01.2010 02:00:00.000 GMT-0000,1.44893,1.44963,1.44507,1.44928,13589
12.01.2010 06:00:00.000 GMT-0000,1.44940,1.45208,1.44663,1.44887,15986.3996
12.01.2010 10:00:00.000 GMT-0000,1.44857,1.45097,1.44605,1.44662,15750.7
12.01.2010 14:00:00.000 GMT-0000,1.44676,1.45479,1.44642,1.45050,16545.7002
12.01.2010 18:00:00.000 GMT-0000,1.45052,1.45082,1.44801,1.44816,10659.8999
12.01.2010 22:00:00.000 GMT-0000,1.44832,1.44941,1.44550,1.44753,6819
13.01.2010 02:00:00.000 GMT-0000,1.44755,1.44919,1.44606,1.44852,13757.099900000001
13.01.2010 06:00:00.000 GMT-0000,1.44852,1.45139,1.44605,1.44998,15977.7998
13.01.2010 10:00:00.000 GMT-0000,1.44995,1.45797,1.44867,1.45717,15479.5
13.01.2010 14:00:00.000 GMT-0000,1.45705,1.45720,1.44708,1.45022,16714.3999
13.01.2010 18:00:00.000 GMT-0000,1.45044,1.45164,1.44817,1.45082,11070.8001
