Local time,Open,High,Low,Close,Volume
31.12.2017 22:00:00.000 GMT-0000,112.658,112.658,112.658,112.658,0
01.01.2018 02:00:00.000 GMT-0000,112.658,112.658,112.658,112.658,0
01.01.2018 06:00:00.000 GMT-0000,112.658,112.658,112.658,112.658,0
01.01.2018 10:00:00.000 GMT-0000,112.658,112.658,112.658,112.658,0
01.01.2018 14:00:00.000 GMT-0000,112.658,112.658,112.658,112.658,0
01.01.2018 18:00:00.000 GMT-0000,112.658,112.658,112.658,112.658,0
01.01.2018 22:00:00.000 GMT-0000,112.594,112.790,112.570,112.723,18651.9902
02.01.2018 02:00:00.000 GMT-0000,112.723,112.751,112.664,112.685,16217.100000000002
02.01.2018 06:00:00.000 GMT-0000,112.685,112.699,112.246,112.248,21299.5699
02.01.2018 10:00:00.000 GMT-0000,112.251,112.282,112.083,112.125,18517.1004
02.01.2018 14:00:00.000 GMT-0000,112.124,112.302,112.055,112.284,25322.12
02.01.2018 18:00:00.000 GMT-0000,112.285,112.352,112.241,112.278,13041.2
02.01.2018 22:00:00.000 GMT-0000,112.277,112.363,112.170,112.317,19826.6997
03.01.2018 02:00:00.000 GMT-0000,112.317,112.396,112.263,112.277,11615.1101
03.01.2018 06:00:00.000 GMT-0000,112.277,112.391,112.236,112.299,17048.9603
03.01.2018 10:00:00.000 GMT-0000,112.298,112.326,112.195,112.227,18904.9195
03.01.2018 14:00:00.000 GMT-0000,112.227,112.500,112.190,112.332,21262.8101
03.01.2018 18:00:00.000 GMT-0000,112.332,112.608,112.298,112.503,17199.059899999997
03.01.2018 22:00:00.000 GMT-0000,112.501,112.777,112.455,112.729,22912.7303
04.01.2018 02:00:00.000 GMT-0000,112.730,112.730,112.617,112.659,15668.9997
04.01.2018 06:00:00.000 GMT-0000,112.660,112.672,112.488,112.545,18612.6904
04.01.2018 10:00:00.000 GMT-0000,112.545,112.844,112.527,112.826,23242.6504
04.01.2018 14:00:00.000 GMT-0000,112.830,112.864,112.748,112.766,23682.8198
04.01.2018 18:00:00.000 GMT-0000,112.766,112.838,112.710,112.743,18361.8596
04.01.2018 22:00:00.000 GMT-0000,112.743,112.805,112.715,112.773,15522.1604
05.01.2018 02:00:00.000 GMT-0000,112.772,113.001,112.722,112.998,16906.4199
05.01.2018 06:00:00.000 GMT-0000,112.997,113.238,112.981,113.225,23207.02
05.01.2018 10:00:00.000 GMT-0000,113.226,113.308,113.013,113.215,25621.069300000003
05.01.2018 14:00:00.000 GMT-0000,113.214,113.273,113.081,113.158,29663.0703
05.01.2018 18:00:00.000 GMT-0000,113.158,113.190,113.025,113.027,12884.7697
07.01.2018 22:00:00.000 GMT-0000,113.131,113.180,113.010,113.132,16750.3799
08.01.2018 02:00:00.000 GMT-0000,113.130,113.273,113.111,113.230,9699.5199
08.01.2018 06:00:00.000 GMT-0000,113.230,113.386,113.116,113.160,18033.1496
08.01.2018 10:00:00.000 GMT-0000,113.159,113.165,112.881,112.928,18321.6501
08.01.2018 14:00:00.000 GMT-0000,112.928,113.125,112.902,113.082,19102.89
08.01.2018 18:00:00.000 GMT-0000,113.083,113.124,113.023,113.090,8343.8099
08.01.2018 22:00:00.000 GMT-0000,113.092,113.179,112.590,112.660,31264.7105
09.01.2018 02:00:00.000 GMT-0000,112.660,112.700,112.498,112.697,20960.96
09.01.2018 06:00:00.000 GMT-0000,112.697,112.968,112.637,112.875,23790.21
09.01.2018 10:00:00.000 GMT-0000,112.875,112.894,112.495,112.631,19705.8599
09.01.2018 14:00:00.000 GMT-0000,112.632,112.777,112.365,112.582,28569.3496
09.01.2018 18:00:00.000 GMT-0000,112.582,112.688,112.521,112.638,14282.05
09.01.2018 22:00:00.000 GMT-0000,112.634,112.784,112.169,112.172,21804.269800000002
10.01.2018 02:00:00.000 GMT-0000,112.176,112.360,112.176,112.357,16823.100000000002
10.01.2018 06:00:00.000 GMT-0000,112.359,112.379,111.717,111.760,29077.21
10.01.2018 10:00:00.000 GMT-0000,111.761,111.882,111.269,111.577,40013.7397
10.01.2018 14:00:00.000 GMT-0000,111.575,111.646,111.291,111.489,29631.509700000002
10.01.2018 18:00:00.000 GMT-0000,111.488,111.503,111.287,111.436,20136.910000000003
10.01.2018 22:00:00.000 GMT-0000,111.436,111.628,111.316,111.602,23877.759299999998
11.01.2018 02:00:00.000 GMT-0000,111.603,111.824,111.500,111.809,25052.0299
11.01.2018 06:00:00.000 GMT-0000,111.811,111.875,111.575,111.623,24614.0196
11.01.2018 10:00:00.000 GMT-0000,111.623,111.768,111.393,111.535,30914.0303
11.01.2018 14:00:00.000 GMT-0000,111.538,111.562,111.319,111.345,30786.1909
11.01.2018 18:00:00.000 GMT-0000,111.345,111.349,111.044,111.255,19189.1997
11.01.2018 22:00:00.000 GMT-0000,111.245,111.348,111.062,111.330,23389.850300000002
12.01.2018 02:00:00.000 GMT-0000,111.330,111.344,111.180,111.242,17551.0003
12.01.2018 06:00:00.000 GMT-0000,111.242,111.437,110.998,111.108,30027.750999999997
12.01.2018 10:00:00.000 GMT-0000,111.109,111.675,110.968,111.635,28908.9004
12.01.2018 14:00:00.000 GMT-0000,111.636,111.694,111.153,111.234,38473.1988
12.01.2018 18:00:00.000 GMT-0000,111.234,111.238,110.913,111.018,25193.8404
14.01.2018 22:00:00.000 GMT-0000,111.076,111.183,110.649,110.737,29282.170899999997
15.01.2018 02:00:00.000 GMT-0000,110.736,110.809,110.578,110.703,22583.7598
15.01.2018 06:00:00.000 GMT-0000,110.703,110.898,110.522,110.558,28966.709499999997
15.01.2018 10:00:00.000 GMT-0000,110.558,110.720,110.537,110.548,23974.439400000003
15.01.2018 14:00:00.000 GMT-0000,110.548,110.704,110.340,110.423,17579.3298
15.01.2018 18:00:00.000 GMT-0000,110.428,110.563,110.327,110.525,20757.6199
15.01.2018 22:00:00.000 GMT-0000,110.525,110.938,110.473,110.796,21721.8298
16.01.2018 02:00:00.000 GMT-0000,110.798,110.981,110.797,110.852,19980.7099
16.01.2018 06:00:00.000 GMT-0000,110.853,110.923,110.604,110.665,32268.1601
16.01.2018 10:00:00.000 GMT-0000,110.665,110.789,110.599,110.688,25701.5298
16.01.2018 14:00:00.000 GMT-0000,110.688,110.881,110.641,110.732,33540.0298
16.01.2018 18:00:00.000 GMT-0000,110.732,110.733,110.246,110.448,27677.0995
16.01.2018 22:00:00.000 GMT-0000,110.438,110.512,110.191,110.419,26624.0208
17.01.2018 02:00:00.000 GMT-0000,110.419,110.929,110.379,110.849,28812.4005
17.01.2018 06:00:00.000 GMT-0000,110.849,110.877,110.719,110.736,29731.2305
17.01.2018 10:00:00.000 GMT-0000,110.736,110.840,110.647,110.779,22860.21
17.01.2018 14:00:00.000 GMT-0000,110.778,110.876,110.617,110.769,38610.46
17.01.2018 18:00:00.000 GMT-0000,110.768,111.344,110.601,111.289,33384.020000000004
17.01.2018 22:00:00.000 GMT-0000,111.263,111.397,111.192,111.280,23797.349899999997
18.01.2018 02:00:00.000 GMT-0000,111.281,111.482,111.112,111.128,23596.499900000003
18.01.2018 06:00:00.000 GMT-0000,111.129,111.321,111.098,111.307,26329.4199
18.01.2018 10:00:00.000 GMT-0000,111.306,111.355,111.127,111.138,25854.27
18.01.2018 14:00:00.000 GMT-0000,111.138,111.172,110.691,110.959,40505.1791
18.01.2018 18:00:00.000 GMT-0000,110.962,111.203,110.888,111.091,22682.460199999998
18.01.2018 22:00:00.000 GMT-0000,111.091,111.129,110.847,111.050,23348.4799
19.01.2018 02:00:00.000 GMT-0000,111.048,111.065,110.784,110.874,24763.19
19.01.2018 06:00:00.000 GMT-0000,110.875,110.911,110.491,110.637,31347.02
19.01.2018 10:00:00.000 GMT-0000,110.637,110.780,110.520,110.566,29420.7705
19.01.2018 14:00:00.000 GMT-0000,110.566,110.750,110.508,110.609,37051.7603
19.01.2018 18:00:00.000 GMT-0000,110.610,110.841,110.570,110.817,17750.5698
21.01.2018 22:00:00.000 GMT-0000,110.576,110.830,110.501,110.810,28986.929799999998
22.01.2018 02:00:00.000 GMT-0000,110.810,110.896,110.750,110.791,21164.3296
22.01.2018 06:00:00.000 GMT-0000,110.792,110.916,110.680,110.708,24160.8501
22.01.2018 10:00:00.000 GMT-0000,110.712,110.848,110.659,110.742,21013.1597
22.01.2018 14:00:00.000 GMT-0000,110.742,111.223,110.689,111.123,31239.799799999997
22.01.2018 18:00:00.000 GMT-0000,111.122,111.135,110.912,110.917,17918.5005
22.01.2018 22:00:00.000 GMT-0000,110.913,111.026,110.852,110.985,18797.619899999998
23.01.2018 02:00:00.000 GMT-0000,110.984,110.992,110.543,110.841,27054.1601
23.01.2018 06:00:00.000 GMT-0000,110.840,111.175,110.639,110.659,34937.1592
23.01.2018 10:00:00.000 GMT-0000,110.658,110.697,110.338,110.372,31653.9102
23.01.2018 14:00:00.000 GMT-0000,110.371,110.548,110.252,110.415,34941.83930000001
23.01.2018 18:00:00.000 GMT-0000,110.415,110.478,110.267,110.297,21678.53
23.01.2018 22:00:00.000 GMT-0000,110.295,110.338,110.050,110.068,22551.409700000004
24.01.2018 02:00:00.000 GMT-0000,110.068,110.120,109.804,109.943,28213.769900000003
24.01.2018 06:00:00.000 GMT-0000,109.944,110.085,109.542,109.664,38703.6905
24.01.2018 10:00:00.000 GMT-0000,109.663,109.674,109.363,109.514,35740.1802
24.01.2018 14:00:00.000 GMT-0000,109.514,109.517,109.000,109.214,43706.1094
24.01.2018 18:00:00.000 GMT-0000,109.210,109.254,108.966,109.220,28508.0195
24.01.2018 22:00:00.000 GMT-0000,109.214,109.472,109.113,109.216,25217.250500000002
25.01.2018 02:00:00.000 GMT-0000,109.217,109.238,108.907,108.925,32721.0991
25.01.2018 06:00:00.000 GMT-0000,108.928,109.269,108.735,109.005,46437.7798
25.01.2018 10:00:00.000 GMT-0000,109.005,109.093,108.752,108.752,35786.9102
25.01.2018 14:00:00.000 GMT-0000,108.752,109.144,108.591,108.664,50834.1992
25.01.2018 18:00:00.000 GMT-0000,108.664,109.700,108.499,109.402,51999.379400000005
25.01.2018 22:00:00.000 GMT-0000,109.401,109.771,109.342,109.405,36626.260200000004
26.01.2018 02:00:00.000 GMT-0000,109.404,109.508,109.332,109.365,28885.940099999996
