Local time,Open,High,Low,Close,Volume
03.01.2010 22:00:00.000 GMT-0000,92.967,93.085,92.680,92.975,67138.8003
04.01.2010 02:00:00.000 GMT-0000,92.975,92.975,92.715,92.870,52244
04.01.2010 06:00:00.000 GMT-0000,92.870,93.210,92.715,92.800,132662.3018
04.01.2010 10:00:00.000 GMT-0000,92.795,92.940,92.610,92.640,121674.1036
04.01.2010 14:00:00.000 GMT-0000,92.640,92.725,92.185,92.685,137597.7012
04.01.2010 18:00:00.000 GMT-0000,92.685,92.690,92.490,92.495,55492.54
04.01.2010 22:00:00.000 GMT-0000,92.490,92.545,92.105,92.265,53114.201700000005
05.01.2010 02:00:00.000 GMT-0000,92.265,92.305,91.625,91.680,88768.3984
05.01.2010 06:00:00.000 GMT-0000,91.680,92.120,91.680,91.875,128648.75
05.01.2010 10:00:00.000 GMT-0000,91.875,92.155,91.685,91.760,113863.8594
05.01.2010 14:00:00.000 GMT-0000,91.755,91.840,91.240,91.560,135270.539
05.01.2010 18:00:00.000 GMT-0000,91.555,91.750,91.505,91.690,83554.1001
05.01.2010 22:00:00.000 GMT-0000,91.695,91.965,91.520,91.775,61725.5015
06.01.2010 02:00:00.000 GMT-0000,91.775,92.130,91.750,92.050,58912.7002
06.01.2010 06:00:00.000 GMT-0000,92.055,92.360,91.950,92.335,131117.747
06.01.2010 10:00:00.000 GMT-0000,92.335,92.500,92.045,92.180,117741.8008
06.01.2010 14:00:00.000 GMT-0000,92.200,92.740,92.125,92.490,161798.4609
06.01.2010 18:00:00.000 GMT-0000,92.490,92.620,92.260,92.310,84644.4179
06.01.2010 22:00:00.000 GMT-0000,92.305,92.460,92.195,92.265,44837.8604
07.01.2010 02:00:00.000 GMT-0000,92.270,92.335,92.120,92.200,36163.7495
07.01.2010 06:00:00.000 GMT-0000,92.195,92.890,92.100,92.870,133237.00199999998
07.01.2010 10:00:00.000 GMT-0000,92.870,93.400,92.830,93.065,150032.0976
07.01.2010 14:00:00.000 GMT-0000,93.065,93.330,92.965,93.155,132106.5801
07.01.2010 18:00:00.000 GMT-0000,93.155,93.365,93.070,93.365,64353.701199999996
07.01.2010 22:00:00.000 GMT-0000,93.360,93.765,93.195,93.315,51483.271
08.01.2010 02:00:00.000 GMT-0000,93.315,93.365,93.130,93.310,49494.2002
08.01.2010 06:00:00.000 GMT-0000,93.320,93.445,92.835,93.120,101989.9394
08.01.2010 10:00:00.000 GMT-0000,93.120,93.470,92.280,92.385,120200.9785
08.01.2010 14:00:00.000 GMT-0000,92.370,93.255,92.340,92.595,170118.8516
08.01.2010 18:00:00.000 GMT-0000,92.595,92.735,92.460,92.650,72900.8999
10.01.2010 22:00:00.000 GMT-0000,92.580,92.615,92.215,92.350,51373.1209
11.01.2010 02:00:00.000 GMT-0000,92.350,92.455,92.170,92.220,57160.7002
11.01.2010 06:00:00.000 GMT-0000,92.215,92.550,92.185,92.470,110707.7988
11.01.2010 10:00:00.000 GMT-0000,92.470,92.560,92.325,92.400,106442.5
11.01.2010 14:00:00.000 GMT-0000,92.400,92.660,91.810,92.050,172070.90039999998
11.01.2010 18:00:00.000 GMT-0000,92.050,92.145,91.875,92.075,68567.501
11.01.2010 22:00:00.000 GMT-0000,92.070,92.285,91.815,91.835,63295.5811
12.01.2010 02:00:00.000 GMT-0000,91.835,92.425,91.830,92.220,76545.99900000001
